"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Feb-14-2018)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
New York - Rochester,EIP,2003-04,2003,40,0-4 yr,0,0
New York - Rochester,EIP,2003-04,2003,41,0-4 yr,0,0
New York - Rochester,EIP,2003-04,2003,42,0-4 yr,0,0
New York - Rochester,EIP,2003-04,2003,43,0-4 yr,0,0
New York - Rochester,EIP,2003-04,2003,44,0-4 yr,0,0
New York - Rochester,EIP,2003-04,2003,45,0-4 yr,0,0
New York - Rochester,EIP,2003-04,2003,46,0-4 yr,0,0
New York - Rochester,EIP,2003-04,2003,47,0-4 yr,0,0
New York - Rochester,EIP,2003-04,2003,48,0-4 yr,0,0
New York - Rochester,EIP,2003-04,2003,49,0-4 yr,1.5,1.5
New York - Rochester,EIP,2003-04,2003,50,0-4 yr,1.5,0
New York - Rochester,EIP,2003-04,2003,51,0-4 yr,7.4,5.9
New York - Rochester,EIP,2003-04,2003,52,0-4 yr,19.2,11.8
New York - Rochester,EIP,2003-04,2003,53,0-4 yr,31.1,11.8
New York - Rochester,EIP,2003-04,2004,1,0-4 yr,34,3
New York - Rochester,EIP,2003-04,2004,2,0-4 yr,34,0
New York - Rochester,EIP,2003-04,2004,3,0-4 yr,34,0
New York - Rochester,EIP,2003-04,2004,4,0-4 yr,37,3
New York - Rochester,EIP,2003-04,2004,5,0-4 yr,37,0
New York - Rochester,EIP,2003-04,2004,6,0-4 yr,37,0
New York - Rochester,EIP,2003-04,2004,7,0-4 yr,37,0
New York - Rochester,EIP,2003-04,2004,8,0-4 yr,37,0
New York - Rochester,EIP,2003-04,2004,9,0-4 yr,37,0
New York - Rochester,EIP,2003-04,2004,10,0-4 yr,37,0
New York - Rochester,EIP,2003-04,2004,11,0-4 yr,37,0
New York - Rochester,EIP,2003-04,2004,12,0-4 yr,37,0
New York - Rochester,EIP,2003-04,2004,13,0-4 yr,37,0
New York - Rochester,EIP,2003-04,2004,14,0-4 yr,37,0
New York - Rochester,EIP,2003-04,2004,15,0-4 yr,37,0
New York - Rochester,EIP,2003-04,2004,16,0-4 yr,37,0
New York - Rochester,EIP,2003-04,2004,17,0-4 yr,37,0
New York - Rochester,EIP,2003-04,2003,40,5-17 yr,0,0
New York - Rochester,EIP,2003-04,2003,41,5-17 yr,0,0
New York - Rochester,EIP,2003-04,2003,42,5-17 yr,0,0
New York - Rochester,EIP,2003-04,2003,43,5-17 yr,0,0
New York - Rochester,EIP,2003-04,2003,44,5-17 yr,0,0
New York - Rochester,EIP,2003-04,2003,45,5-17 yr,0,0
New York - Rochester,EIP,2003-04,2003,46,5-17 yr,0,0
New York - Rochester,EIP,2003-04,2003,47,5-17 yr,0,0
New York - Rochester,EIP,2003-04,2003,48,5-17 yr,0,0
New York - Rochester,EIP,2003-04,2003,49,5-17 yr,0,0
New York - Rochester,EIP,2003-04,2003,50,5-17 yr,0,0
New York - Rochester,EIP,2003-04,2003,51,5-17 yr,0.9,0.9
New York - Rochester,EIP,2003-04,2003,52,5-17 yr,1.4,0.5
New York - Rochester,EIP,2003-04,2003,53,5-17 yr,1.9,0.5
New York - Rochester,EIP,2003-04,2004,1,5-17 yr,1.9,0
New York - Rochester,EIP,2003-04,2004,2,5-17 yr,1.9,0
New York - Rochester,EIP,2003-04,2004,3,5-17 yr,1.9,0
New York - Rochester,EIP,2003-04,2004,4,5-17 yr,1.9,0
New York - Rochester,EIP,2003-04,2004,5,5-17 yr,1.9,0
New York - Rochester,EIP,2003-04,2004,6,5-17 yr,1.9,0
New York - Rochester,EIP,2003-04,2004,7,5-17 yr,1.9,0
New York - Rochester,EIP,2003-04,2004,8,5-17 yr,1.9,0
New York - Rochester,EIP,2003-04,2004,9,5-17 yr,1.9,0
New York - Rochester,EIP,2003-04,2004,10,5-17 yr,1.9,0
New York - Rochester,EIP,2003-04,2004,11,5-17 yr,1.9,0
New York - Rochester,EIP,2003-04,2004,12,5-17 yr,1.9,0
New York - Rochester,EIP,2003-04,2004,13,5-17 yr,1.9,0
New York - Rochester,EIP,2003-04,2004,14,5-17 yr,1.9,0
New York - Rochester,EIP,2003-04,2004,15,5-17 yr,1.9,0
New York - Rochester,EIP,2003-04,2004,16,5-17 yr,1.9,0
New York - Rochester,EIP,2003-04,2004,17,5-17 yr,1.9,0
New York - Rochester,EIP,2003-04,2003,40,Overall,0,0
New York - Rochester,EIP,2003-04,2003,41,Overall,0,0
New York - Rochester,EIP,2003-04,2003,42,Overall,0,0
New York - Rochester,EIP,2003-04,2003,43,Overall,0,0
New York - Rochester,EIP,2003-04,2003,44,Overall,0,0
New York - Rochester,EIP,2003-04,2003,45,Overall,0,0
New York - Rochester,EIP,2003-04,2003,46,Overall,0,0
New York - Rochester,EIP,2003-04,2003,47,Overall,0,0
New York - Rochester,EIP,2003-04,2003,48,Overall,0,0
New York - Rochester,EIP,2003-04,2003,49,Overall,0.4,0.4
New York - Rochester,EIP,2003-04,2003,50,Overall,0.4,0
New York - Rochester,EIP,2003-04,2003,51,Overall,2.5,2.1
New York - Rochester,EIP,2003-04,2003,52,Overall,5.7,3.2
New York - Rochester,EIP,2003-04,2003,53,Overall,8.9,3.2
