STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jan-09-2016,1,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jan-09-2016,1,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jan-16-2016,2,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jan-16-2016,2,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jan-23-2016,3,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jan-23-2016,3,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jan-30-2016,4,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jan-30-2016,4,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Feb-06-2016,5,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Feb-06-2016,5,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Feb-13-2016,6,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Feb-13-2016,6,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Feb-20-2016,7,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Feb-20-2016,7,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Feb-27-2016,8,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Feb-27-2016,8,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Mar-05-2016,9,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Mar-05-2016,9,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Mar-12-2016,10,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Mar-12-2016,10,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Mar-19-2016,11,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Mar-19-2016,11,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Mar-26-2016,12,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Mar-26-2016,12,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Apr-02-2016,13,2015-16
