"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on Feb-14-2018)",,,,,,,
Influenza Division - Centers for Disease Control and Prevention.,,,,,,,
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Entire Network,FluSurv-NET,2009-10,2009,35,0-4 yr,0.5,0.5
Entire Network,FluSurv-NET,2009-10,2009,36,0-4 yr,2.5,2
Entire Network,FluSurv-NET,2009-10,2009,37,0-4 yr,4.6,2
Entire Network,FluSurv-NET,2009-10,2009,38,0-4 yr,6.7,2.1
Entire Network,FluSurv-NET,2009-10,2009,39,0-4 yr,10.9,4.3
Entire Network,FluSurv-NET,2009-10,2009,40,0-4 yr,18.1,7.2
Entire Network,FluSurv-NET,2009-10,2009,41,0-4 yr,28.3,10.2
Entire Network,FluSurv-NET,2009-10,2009,42,0-4 yr,39.1,10.8
Entire Network,FluSurv-NET,2009-10,2009,43,0-4 yr,47.3,8.2
Entire Network,FluSurv-NET,2009-10,2009,44,0-4 yr,53.3,6
Entire Network,FluSurv-NET,2009-10,2009,45,0-4 yr,57.5,4.2
Entire Network,FluSurv-NET,2009-10,2009,46,0-4 yr,60.1,2.6
Entire Network,FluSurv-NET,2009-10,2009,47,0-4 yr,61.6,1.5
Entire Network,FluSurv-NET,2009-10,2009,48,0-4 yr,62.9,1.3
Entire Network,FluSurv-NET,2009-10,2009,49,0-4 yr,64.1,1.3
Entire Network,FluSurv-NET,2009-10,2009,50,0-4 yr,65.1,1
Entire Network,FluSurv-NET,2009-10,2009,51,0-4 yr,66.3,1.2
Entire Network,FluSurv-NET,2009-10,2009,52,0-4 yr,67.4,1.1
Entire Network,FluSurv-NET,2009-10,2010,1,0-4 yr,68.4,1
Entire Network,FluSurv-NET,2009-10,2010,2,0-4 yr,69,0.6
Entire Network,FluSurv-NET,2009-10,2010,3,0-4 yr,70.3,1.3
Entire Network,FluSurv-NET,2009-10,2010,4,0-4 yr,71.3,1
Entire Network,FluSurv-NET,2009-10,2010,5,0-4 yr,72.4,1.1
Entire Network,FluSurv-NET,2009-10,2010,6,0-4 yr,73,0.6
Entire Network,FluSurv-NET,2009-10,2010,7,0-4 yr,73.7,0.6
Entire Network,FluSurv-NET,2009-10,2010,8,0-4 yr,74.2,0.5
Entire Network,FluSurv-NET,2009-10,2010,9,0-4 yr,74.7,0.5
