AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA AND PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2017-18,40,5.9,56,953,> 100%
State,Alabama,All,2017-18,41,5.6,56,998,> 100%
State,Alabama,All,2017-18,42,7.4,73,980,> 100%
State,Alabama,All,2017-18,43,6.1,58,949,> 100%
State,Alabama,All,2017-18,44,6.1,61,"1,000",> 100%
State,Alabama,All,2017-18,45,5.9,58,986,> 100%
State,Alabama,All,2017-18,46,6,58,974,> 100%
State,Alabama,All,2017-18,47,6.1,60,980,> 100%
State,Alabama,All,2017-18,48,6.3,67,"1,062",> 100%
State,Alabama,All,2017-18,49,5.7,60,"1,057",> 100%
State,Alabama,All,2017-18,50,6.6,71,"1,071",> 100%
State,Alabama,All,2017-18,51,5.2,53,"1,029",> 100%
State,Alabama,All,2017-18,52,8.7,85,981,> 100%
State,Alabama,All,2017-18,1,9,87,968,> 100%
State,Alabama,All,2017-18,2,8.8,70,794,86%
State,Alaska,All,2017-18,40,4.5,4,89,> 100%
State,Alaska,All,2017-18,41,4.8,4,84,> 100%
State,Alaska,All,2017-18,42,7.1,6,84,> 100%
State,Alaska,All,2017-18,43,2.9,3,103,> 100%
State,Alaska,All,2017-18,44,11,9,82,> 100%
State,Alaska,All,2017-18,45,4.3,4,93,> 100%
State,Alaska,All,2017-18,46,7,6,86,> 100%
State,Alaska,All,2017-18,47,5.5,4,73,> 100%
State,Alaska,All,2017-18,48,1.1,1,87,> 100%
State,Alaska,All,2017-18,49,5.8,4,69,95.70%
State,Alaska,All,2017-18,50,6.7,6,89,> 100%
State,Alaska,All,2017-18,51,4.1,3,73,> 100%
State,Alaska,All,2017-18,52,5.4,4,74,> 100%
State,Alaska,All,2017-18,1,6.5,3,46,63.80%
State,Alaska,All,2017-18,2,3.4,2,58,80.50%
State,Arizona,All,2017-18,40,5,53,"1,064",> 100%
State,Arizona,All,2017-18,41,5.5,57,"1,043",> 100%
State,Arizona,All,2017-18,42,5.4,56,"1,042",> 100%
State,Arizona,All,2017-18,43,6.5,67,"1,029",> 100%
State,Arizona,All,2017-18,44,5.8,62,"1,068",> 100%
State,Arizona,All,2017-18,45,5.5,56,"1,020",> 100%
State,Arizona,All,2017-18,46,7,78,"1,122",> 100%
State,Arizona,All,2017-18,47,6.2,67,"1,085",> 100%
State,Arizona,All,2017-18,48,5.6,62,"1,107",> 100%
State,Arizona,All,2017-18,49,6.3,67,"1,063",> 100%
State,Arizona,All,2017-18,50,6.5,74,"1,130",> 100%
State,Arizona,All,2017-18,51,6.8,88,"1,286",> 100%
State,Arizona,All,2017-18,52,10.4,141,"1,360",> 100%
State,Arizona,All,2017-18,1,11.8,138,"1,165",> 100%
State,Arizona,All,2017-18,2,10.4,115,"1,106",> 100%
State,Arkansas,All,2017-18,40,6.1,35,571,> 100%
State,Arkansas,All,2017-18,41,4.9,27,549,98.10%
State,Arkansas,All,2017-18,42,5.6,32,567,> 100%
State,Arkansas,All,2017-18,43,6.9,42,606,> 100%
