,STATENAME,ACTIVITY LEVEL,WEEK,SEASON
2806,New York City,1,39,2016
2807,New York City,1,38,2016
2808,New York City,1,37,2016
2809,New York City,1,36,2016
2810,New York City,1,35,2016
2811,New York City,1,34,2016
2812,New York City,1,33,2016
2813,New York City,1,32,2016
2814,New York City,1,31,2016
2815,New York City,1,30,2016
2816,New York City,1,29,2016
2817,New York City,1,28,2016
2818,New York City,1,27,2016
2819,New York City,1,26,2016
2820,New York City,1,25,2016
2821,New York City,1,24,2016
2822,New York City,2,23,2016
2823,New York City,2,22,2016
2824,New York City,1,21,2016
2825,New York City,2,20,2016
2826,New York City,2,19,2016
2827,New York City,1,18,2016
2828,New York City,1,17,2016
2829,New York City,2,16,2016
2830,New York City,4,15,2016
2831,New York City,4,14,2016
2832,New York City,4,13,2016
2833,New York City,3,12,2016
2834,New York City,3,11,2016
2835,New York City,3,10,2016
2836,New York City,3,9,2016
2837,New York City,5,8,2016
2838,New York City,6,7,2016
2839,New York City,8,6,2016
2840,New York City,8,5,2016
2841,New York City,8,4,2016
2842,New York City,9,3,2016
2843,New York City,8,2,2016
2844,New York City,8,1,2016
2845,New York City,10,52,2016
2846,New York City,8,51,2016
2847,New York City,6,50,2016
2848,New York City,5,49,2016
2849,New York City,4,48,2016
2850,New York City,4,47,2016
2851,New York City,3,46,2016
2852,New York City,3,45,2016
2853,New York City,2,44,2016
2854,New York City,2,43,2016
2855,New York City,2,42,2016
2856,New York City,1,41,2016
2857,New York City,1,40,2016
2858,Wisconsin,1,39,2016
2859,Wisconsin,1,38,2016
2860,Wisconsin,1,37,2016
2861,Wisconsin,1,36,2016
2862,Wisconsin,1,35,2016
2863,Wisconsin,1,34,2016
2864,Wisconsin,1,33,2016
2865,Wisconsin,1,32,2016
2866,Wisconsin,1,31,2016
2867,Wisconsin,1,30,2016
2868,Wisconsin,1,29,2016
2869,Wisconsin,1,28,2016
2870,Wisconsin,1,27,2016
2871,Wisconsin,1,26,2016
2872,Wisconsin,1,25,2016
2873,Wisconsin,1,24,2016
2874,Wisconsin,1,23,2016
2875,Wisconsin,1,22,2016
2876,Wisconsin,1,21,2016
2877,Wisconsin,1,20,2016
2878,Wisconsin,1,19,2016
2879,Wisconsin,1,18,2016
