State,Year,Month,ActivityLevel,Temp,Precipitation,PMDI
California,2009,1,1,60.8,0.93,-5.1
Oregon,2009,1,1,53.5,2.17,-2.58
Washington,2009,1,1,56,1.51,-1.86
Montana,2009,1,1,49.6,2.43,-0.67
Idaho,2009,1,1,51.8,2.89,-1.72
North Dakota,2009,1,1,52.4,4,2.38
Nevada,2009,1,2,55.5,2.11,-5.05
Arizona,2009,1,1,62.9,1,-1.76
Utah,2009,1,1,53.8,3.2,-0.98
South Dakota,2009,1,1,53.9,5.72,2.38
Wyoming,2009,1,1,47,4.59,1.75
Minnesota,2009,1,1,54.2,5.3,0.51
Colorado,2009,1,1,44.9,1.88,-0.98
New Mexico,2009,1,1,58.3,2.54,1.43
Texas,2009,1,1,71.6,9.05,4.75
Oklahoma,2009,1,1,66.1,14.44,3.57
Kansas,2009,1,1,61.7,8.28,1.87
Nebraska,2009,1,1,56.2,5.89,2.05
Iowa,2009,1,1,51.1,3.37,0.82
Missouri,2009,1,1,64.8,7.3,1.46
Arkansas,2009,1,1,69.3,10.56,2.36
Louisiana,2009,1,1,74.8,8.24,1.61
Mississippi,2009,1,4,72.3,6.18,0.55
Tennessee,2009,1,1,68,3.69,0.42
Kentucky,2009,1,1,67.3,2.67,0.94
Illinois,2009,1,1,64.9,5.39,0.76
Wisconsin,2009,1,1,56.6,4.65,0.47
Michigan,2009,1,1,57.2,4.14,0.01
Indiana,2009,1,1,65,3.98,0.91
Ohio,2009,1,1,65,3.34,0.01
Pennsylvania,2009,1,1,63.5,2.57,-1.67
New York,2009,1,1,61,2.75,-2.14
Maine,2009,1,1,55.7,2.8,-1.61
New Hampshire,2009,1,1,58.9,1.94,-2.15
Vermont,2009,1,1,58.6,3.06,-2
Massachusetts,2009,1,1,61.8,0.96,-2.1
Connecticut,2009,1,1,62.7,1.21,-2.87
Rhode Island,2009,1,1,61.3,1.04,-1.73
New Jersey,2009,1,1,66,1.21,-1.59
Delaware,2009,1,1,72.6,4.37,0.19
Maryland,2009,1,1,67.6,2.46,-0.9
West Virginia,2009,1,1,64.7,2.36,-0.94
Virginia,2009,1,3,67.1,2.15,-0.94
North Carolina,2009,1,1,68.6,2.62,-0.78
South Carolina,2009,1,1,71.6,1.63,-0.95
Georgia,2009,1,2,72.4,2.17,-0.86
Alabama,2009,1,1,71.9,4.32,0.24
Florida,2009,1,1,77.5,2.39,-1.42
California,2009,2,2,74.4,0.23,-5.13
Oregon,2009,2,2,65.6,0.42,-3.17
Washington,2009,2,1,65.5,0.47,-2.79
Montana,2009,2,1,63.8,1.77,-1.75
Idaho,2009,2,1,64.7,0.77,-2.88
North Dakota,2009,2,4,65.1,3.63,2.38
Nevada,2009,2,5,71,0.56,-6.14
Arizona,2009,2,1,78.4,0.8,-1.23
Utah,2009,2,2,70,0.97,-1.78
South Dakota,2009,2,2,67.6,4.05,3
Wyoming,2009,2,1,63,1.89,1.32
Minnesota,2009,2,1,64.7,3.8,0.29
Colorado,2009,2,1,49.8,5.3,2.56
New Mexico,2009,2,1,71.6,1.57,1.5
Texas,2009,2,10,79.3,3.72,5.13
Oklahoma,2009,2,1,78.4,4.81,3.5
Kansas,2009,2,1,75.8,3.34,1.28
Nebraska,2009,2,1,69.8,4.73,2.51
Iowa,2009,2,1,60,5.06,1.69
Missouri,2009,2,1,74.3,7.36,2.17
Arkansas,2009,2,6,78.1,3.99,1.96
Louisiana,2009,2,9,80.5,5.42,1.68
Mississippi,2009,2,10,79.2,4.05,0.44
Tennessee,2009,2,1,75.9,4.76,0.7
Kentucky,2009,2,3,74.2,5.47,1.62
Illinois,2009,2,2,71.7,9.44,3.4
Wisconsin,2009,2,1,63.8,4.44,0.72
Michigan,2009,2,1,62.5,4.07,0.85
Indiana,2009,2,4,71,9.07,3.43
Ohio,2009,2,1,69.8,8.04,2.57
Pennsylvania,2009,2,1,67.1,8.36,1.91
New York,2009,2,1,63,7.69,2.03
Maine,2009,2,2,57.5,5.79,1.06
New Hampshire,2009,2,1,60.2,7.34,1.15
Vermont,2009,2,1,59.9,8.63,2.19
Massachusetts,2009,2,4,63.6,6.57,0.23
Connecticut,2009,2,10,65.3,6.35,-0.79
Rhode Island,2009,2,5,64.5,5.35,-0.25
New Jersey,2009,2,5,70.3,8.12,1.54
Delaware,2009,2,1,69.1,3.58,-0.18
Maryland,2009,2,6,73.1,9.39,2.02
West Virginia,2009,2,1,70.5,6.43,0.92
Virginia,2009,2,7,73.7,6.95,1.15
North Carolina,2009,2,2,77.3,5.2,-0.65
South Carolina,2009,2,3,80.5,4.12,-1.41
Georgia,2009,2,7,79.3,4.25,-1.04
Alabama,2009,2,3,78.9,3.27,-0.54
Florida,2009,2,1,81.7,6.05,-1.86
California,2009,3,2,75,0.67,-4.84
Oregon,2009,3,7,67.5,0.76,-3.51
Washington,2009,3,3,68.6,0.42,-3.76
Montana,2009,3,1,66.2,1.88,-1.72
Idaho,2009,3,1,65.1,1.37,-2.7
North Dakota,2009,3,7,69.9,2.65,2.51
Nevada,2009,3,5,70.9,1.22,-5.64
Arizona,2009,3,1,78.6,1.91,-0.74
Utah,2009,3,3,70.1,1.46,-1.63
South Dakota,2009,3,3,72.1,3.02,3.67
Wyoming,2009,3,1,63.9,1.53,1.79
Minnesota,2009,3,1,69.5,4.07,1.22
Colorado,2009,3,2,64.9,1.91,2.71
New Mexico,2009,3,4,73.1,3.7,2.57
Texas,2009,3,5,83.2,1.85,5.17
Oklahoma,2009,3,5,82.1,5.43,4.29
Kansas,2009,3,6,78.9,4.93,2.2
Nebraska,2009,3,1,73.4,3.33,3.08
Iowa,2009,3,3,69.4,6.38,2.52
Missouri,2009,3,3,77.4,7.93,3.67
Arkansas,2009,3,4,81.9,4.92,2.2
Louisiana,2009,3,3,84.2,3,-0.57
Mississippi,2009,3,10,82.8,4.4,-0.23
Tennessee,2009,3,2,78.2,6.48,1.99
Kentucky,2009,3,5,76.5,9.37,3.85
Illinois,2009,3,6,74.3,5.21,3.82
Wisconsin,2009,3,7,68.4,3.38,0.52
Michigan,2009,3,1,67.9,2.49,0.51
Indiana,2009,3,5,72.9,6.23,4.23
Ohio,2009,3,1,71.6,4.75,2.87
Pennsylvania,2009,3,9,70.4,4.33,1.84
New York,2009,3,6,68.1,3.6,1.78
Maine,2009,3,4,64.8,3.61,1
New Hampshire,2009,3,1,66.9,3.71,1.03
Vermont,2009,3,1,66.2,4.08,1.98
Massachusetts,2009,3,1,71,3.15,-0.03
Connecticut,2009,3,2,72.2,2.81,-1.41
Rhode Island,2009,3,2,72.3,3.12,-0.33
New Jersey,2009,3,5,75.2,3.68,0.86
Delaware,2009,3,2,59.4,2.44,-0.97
Maryland,2009,3,9,75.9,3.93,1.8
West Virginia,2009,3,1,72.1,6.46,2
Virginia,2009,3,9,75.3,5.05,1.3
North Carolina,2009,3,3,78.5,4.38,-1.22
South Carolina,2009,3,6,82.2,3.47,-2.24
Georgia,2009,3,8,81.5,4.65,-1.53
Alabama,2009,3,5,81.6,4.71,-1.27
Florida,2009,3,1,82.8,7.83,-1.95
California,2009,4,1,76.5,0.08,-4.73
Oregon,2009,4,1,66.9,0.38,-3.69
Washington,2009,4,1,66.6,1.33,-3.73
Montana,2009,4,1,65.9,1.01,-2.08
Idaho,2009,4,1,65.8,0.76,-2.68
North Dakota,2009,4,4,68,1.59,1.45
Nevada,2009,4,3,72.7,0.49,-5.54
Arizona,2009,4,1,80.6,2.1,-0.85
Utah,2009,4,2,71,1.27,-1.56
South Dakota,2009,4,4,69.9,3.36,4.7
Wyoming,2009,4,1,64.3,0.91,1.63
Minnesota,2009,4,1,65.9,3.89,1.54
Colorado,2009,4,1,66.6,2.37,3.1
New Mexico,2009,4,1,73.4,2.05,1.05
Texas,2009,4,1,83.3,1.43,3.65
Oklahoma,2009,4,1,79.3,2.45,4.26
Kansas,2009,4,1,75.2,2.95,2.26
Nebraska,2009,4,1,70.9,2.83,3.49
Iowa,2009,4,1,72,5.51,3.19
Missouri,2009,4,1,73.4,3.96,3.8
Arkansas,2009,4,1,78.1,3.02,2.06
Louisiana,2009,4,1,82.6,2.66,-1.59
Mississippi,2009,4,2,80.1,3.14,-0.54
Tennessee,2009,4,1,74.2,4.53,2.41
Kentucky,2009,4,2,72.8,3.19,3.54
Illinois,2009,4,1,71.9,3.02,3.55
Wisconsin,2009,4,1,66.1,4,0.64
Michigan,2009,4,1,66.9,3.31,0.48
Indiana,2009,4,1,70.6,2.57,3.52
Ohio,2009,4,1,70.1,2.49,1.93
Pennsylvania,2009,4,6,68.9,2.57,0.28
New York,2009,4,2,67.5,3.07,0.67
Maine,2009,4,1,67.2,3.9,0.96
New Hampshire,2009,4,1,67.6,3.59,0.72
Vermont,2009,4,1,66.6,2.95,0.39
Massachusetts,2009,4,1,71.1,2.95,-0.85
Connecticut,2009,4,1,72,2.14,-2.57
Rhode Island,2009,4,1,72.6,2.52,-1.5
New Jersey,2009,4,1,74.3,2.26,-0.91
Delaware,2009,4,1,44.6,3.96,-0.81
Maryland,2009,4,1,73.9,2.61,0.31
West Virginia,2009,4,1,69.9,2.71,0.43
Virginia,2009,4,3,73.2,2.65,-0.22
North Carolina,2009,4,1,76.1,4,-1.71
South Carolina,2009,4,1,79.5,5.71,-2.14
Georgia,2009,4,1,79.5,5.78,-0.9
Alabama,2009,4,1,79,4.94,-0.67
Florida,2009,4,1,82.4,8.44,-1.32
California,2009,5,3,72.1,0.33,-4.47
Oregon,2009,5,2,58.1,0.83,-3.64
Washington,2009,5,4,56.2,1.5,-3.61
Montana,2009,5,1,57.3,1.29,-2.22
Idaho,2009,5,1,57.2,1.31,-2.46
North Dakota,2009,5,4,62,1.57,0.61
Nevada,2009,5,3,65.9,0.34,-5.42
Arizona,2009,5,3,75,1.37,-0.64
Utah,2009,5,2,65.5,0.88,-1.88
South Dakota,2009,5,1,65.9,1.33,3.95
Wyoming,2009,5,1,59.4,0.64,-0.34
Minnesota,2009,5,1,63.8,2.71,0.54
Colorado,2009,5,1,66.9,1.67,2.7
New Mexico,2009,5,5,69,1.1,-0.88
Texas,2009,5,3,79.3,1.43,1.18
Oklahoma,2009,5,1,76.6,2.07,2.66
Kansas,2009,5,1,74.2,1.58,0.51
Nebraska,2009,5,1,68.6,2.54,3.44
Iowa,2009,5,1,68.9,5.29,3.79
Missouri,2009,5,1,71.6,2.18,2.59
Arkansas,2009,5,1,74.8,1.47,0.03
Louisiana,2009,5,10,78.5,2.76,-2.13
Mississippi,2009,5,1,76.3,1.58,-1.26
Tennessee,2009,5,1,70.9,2.73,1.83
Kentucky,2009,5,1,70.2,2.89,2.86
Illinois,2009,5,4,70.4,3.42,3.24
Wisconsin,2009,5,3,64.7,4.39,0.59
Michigan,2009,5,1,64.6,2.91,-0.76
Indiana,2009,5,1,68.8,2.39,2.45
Ohio,2009,5,1,68.5,3.07,1.45
Pennsylvania,2009,5,1,66.6,4.32,0.3
New York,2009,5,1,65,4.75,0.93
Maine,2009,5,1,61.8,4.82,1.11
New Hampshire,2009,5,1,62.7,5.36,1.15
Vermont,2009,5,1,62.4,4.73,0.28
Massachusetts,2009,5,1,66.2,4.19,-0.94
Connecticut,2009,5,1,67.8,3.62,-2.72
Rhode Island,2009,5,1,67.6,3.99,-1.53
New Jersey,2009,5,1,70.7,3.6,-1.17
Delaware,2009,5,1,41,3.84,-0.58
Maryland,2009,5,1,70.9,3.86,-0.08
West Virginia,2009,5,1,67.1,4.05,0.83
Virginia,2009,5,6,69.3,5.73,1.28
North Carolina,2009,5,1,71.7,5.31,-1.25
South Carolina,2009,5,1,74.3,4.35,-2.09
Georgia,2009,5,8,73.9,3.75,-1
Alabama,2009,5,1,74.4,2.71,-1.32
Florida,2009,5,1,80,6.67,-1.27
California,2009,6,1,65,0.9,-4.47
