AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
Region,Region 1,All,2017-18,40,6.6,5.9,5.4,0,128,"2,362",> 100%
Region,Region 1,All,2017-18,41,6.7,6,5.8,0,137,"2,343",> 100%
Region,Region 1,All,2017-18,42,6.8,6.1,5.9,1,138,"2,349",> 100%
Region,Region 1,All,2017-18,43,6.9,6.2,7.7,0,174,"2,270",99.20%
Region,Region 1,All,2017-18,44,7,6.3,5.9,0,127,"2,161",94.40%
Region,Region 1,All,2017-18,45,7.1,6.4,7.1,1,135,"1,910",83.40%
Region,Region 1,All,2017-18,46,7.2,6.5,6.5,1,133,"2,046",89.40%
Region,Region 1,All,2017-18,47,7.3,6.6,5.7,1,113,"1,996",87.20%
Region,Region 1,All,2017-18,48,7.4,6.7,6.7,3,135,"2,070",90.40%
Region,Region 1,All,2017-18,49,7.5,6.8,5.8,0,115,"1,977",86.40%
Region,Region 1,All,2017-18,50,7.6,7,7.1,5,137,"1,996",87.20%
Region,Region 1,All,2017-18,51,7.8,7.1,8.5,6,175,"2,123",92.70%
Region,Region 1,All,2017-18,52,7.9,7.2,7.3,9,146,"2,113",92.30%
Region,Region 1,All,2017-18,1,8,7.3,9.8,22,199,"2,254",98.50%
Region,Region 1,All,2017-18,2,8.1,7.4,10.1,30,204,"2,326",> 100%
Region,Region 1,All,2017-18,3,8.2,7.5,10.9,35,191,"2,071",90.50%
Region,Region 1,All,2017-18,4,8.2,7.6,8.4,31,123,"1,830",79.90%
Region,Region 2,All,2017-18,40,7,6.4,6.2,2,254,"4,140",99.80%
Region,Region 2,All,2017-18,41,7,6.5,6.5,1,269,"4,126",99.40%
Region,Region 2,All,2017-18,42,7.1,6.6,7.3,3,297,"4,123",99.30%
Region,Region 2,All,2017-18,43,7.2,6.7,6.6,2,277,"4,253",> 100%
Region,Region 2,All,2017-18,44,7.3,6.8,6.4,1,268,"4,182",> 100%
Region,Region 2,All,2017-18,45,7.4,6.9,6.8,1,291,"4,297",> 100%
Region,Region 2,All,2017-18,46,7.5,7,6.2,1,274,"4,432",> 100%
Region,Region 2,All,2017-18,47,7.6,7.1,6.2,0,279,"4,528",> 100%
Region,Region 2,All,2017-18,48,7.7,7.2,7.5,2,330,"4,427",> 100%
Region,Region 2,All,2017-18,49,7.8,7.3,6.9,3,306,"4,454",> 100%
Region,Region 2,All,2017-18,50,7.9,7.4,7,5,319,"4,611",> 100%
Region,Region 2,All,2017-18,51,8,7.5,8.2,10,373,"4,681",> 100%
Region,Region 2,All,2017-18,52,8.1,7.5,8.3,16,368,"4,649",> 100%
Region,Region 2,All,2017-18,1,8.2,7.6,8.7,18,376,"4,525",> 100%
Region,Region 2,All,2017-18,2,8.2,7.7,8.6,35,368,"4,659",> 100%
Region,Region 2,All,2017-18,3,8.3,7.8,11.5,69,400,"4,089",98.50%
Region,Region 2,All,2017-18,4,8.4,7.8,12.3,76,372,"3,632",87.50%
Region,Region 3,All,2017-18,40,5.7,5.2,5.2,2,267,"5,139",> 100%
Region,Region 3,All,2017-18,41,5.8,5.3,5.5,1,271,"4,948",98.20%
Region,Region 3,All,2017-18,42,5.9,5.4,6.2,1,280,"4,563",90.60%
Region,Region 3,All,2017-18,43,5.9,5.5,5.4,1,230,"4,302",85.40%
Region,Region 3,All,2017-18,44,6,5.5,5.7,1,241,"4,271",84.80%
Region,Region 3,All,2017-18,45,6.1,5.6,5.3,2,225,"4,284",85.10%
Region,Region 3,All,2017-18,46,6.2,5.7,5.5,0,236,"4,255",84.50%
Region,Region 3,All,2017-18,47,6.3,5.8,5.6,3,239,"4,329",86%
Region,Region 3,All,2017-18,48,6.4,5.9,5.3,4,231,"4,414",87.60%
Region,Region 3,All,2017-18,49,6.5,6,5.7,5,244,"4,407",87.50%
Region,Region 3,All,2017-18,50,6.5,6.1,5.7,5,250,"4,451",88.40%
Region,Region 3,All,2017-18,51,6.6,6.1,5.7,16,236,"4,406",87.50%
Region,Region 3,All,2017-18,52,6.7,6.2,6.9,16,286,"4,406",87.50%
Region,Region 3,All,2017-18,1,6.8,6.3,6.9,35,256,"4,222",83.80%
Region,Region 3,All,2017-18,2,6.8,6.3,8.4,40,293,"3,982",79.10%
Region,Region 3,All,2017-18,3,6.9,6.4,8.4,34,232,"3,159",62.70%
Region,Region 3,All,2017-18,4,6.9,6.4,7.8,40,170,"2,682",53.30%
Region,Region 4,All,2017-18,40,6,5.6,5.6,3,663,"11,862",> 100%
Region,Region 4,All,2017-18,41,6.1,5.7,5.5,4,645,"11,773",> 100%
Region,Region 4,All,2017-18,42,6.2,5.8,5.8,6,680,"11,730",> 100%
Region,Region 4,All,2017-18,43,6.3,5.9,6.5,4,749,"11,665",> 100%
Region,Region 4,All,2017-18,44,6.4,6,6.3,9,753,"12,073",> 100%
Region,Region 4,All,2017-18,45,6.5,6.1,6.1,6,719,"11,842",> 100%
Region,Region 4,All,2017-18,46,6.6,6.2,6.2,11,725,"11,953",> 100%
Region,Region 4,All,2017-18,47,6.7,6.3,6.2,10,714,"11,694",> 100%
Region,Region 4,All,2017-18,48,6.8,6.4,6.4,13,737,"11,747",> 100%
Region,Region 4,All,2017-18,49,6.9,6.5,6.2,18,717,"11,763",> 100%
Region,Region 4,All,2017-18,50,7,6.6,6.7,20,777,"11,967",> 100%
Region,Region 4,All,2017-18,51,7.1,6.7,6.3,50,669,"11,490",> 100%
Region,Region 4,All,2017-18,52,7.1,6.8,7.5,71,726,"10,601",> 100%
Region,Region 4,All,2017-18,1,7.2,6.8,8,111,743,"10,702",> 100%
Region,Region 4,All,2017-18,2,7.3,6.9,8.8,155,793,"10,825",> 100%
Region,Region 4,All,2017-18,3,7.3,6.9,8.9,192,685,"9,817",94.20%
Region,Region 4,All,2017-18,4,7.4,7,9,149,586,"8,151",78.20%
Region,Region 5,All,2017-18,40,5.6,5.3,5.7,2,512,"9,089",> 100%
Region,Region 5,All,2017-18,41,5.7,5.3,5.6,4,492,"8,793",> 100%
Region,Region 5,All,2017-18,42,5.8,5.4,5.5,1,497,"9,066",> 100%
Region,Region 5,All,2017-18,43,5.8,5.5,5.6,2,510,"9,159",> 100%
Region,Region 5,All,2017-18,44,5.9,5.6,5.5,9,504,"9,324",> 100%
Region,Region 5,All,2017-18,45,6,5.6,5.6,5,514,"9,269",> 100%
Region,Region 5,All,2017-18,46,6.1,5.7,5.5,6,508,"9,367",> 100%
Region,Region 5,All,2017-18,47,6.2,5.8,5.2,4,482,"9,382",> 100%
Region,Region 5,All,2017-18,48,6.2,5.9,6,12,537,"9,163",> 100%
Region,Region 5,All,2017-18,49,6.3,6,5.9,9,521,"9,009",> 100%
Region,Region 5,All,2017-18,50,6.4,6,6.7,44,597,"9,574",> 100%
Region,Region 5,All,2017-18,51,6.5,6.1,6.5,58,552,"9,383",> 100%
Region,Region 5,All,2017-18,52,6.5,6.2,7.6,100,603,"9,196",> 100%
Region,Region 5,All,2017-18,1,6.6,6.2,8.6,198,692,"10,304",> 100%
Region,Region 5,All,2017-18,2,6.7,6.3,9.9,253,782,"10,417",> 100%
Region,Region 5,All,2017-18,3,6.7,6.3,10.2,245,740,"9,701",> 100%
Region,Region 5,All,2017-18,4,6.7,6.4,9,197,508,"7,806",92.60%
Region,Region 6,All,2017-18,40,6.5,6,5.9,3,364,"6,236",> 100%
Region,Region 6,All,2017-18,41,6.6,6.1,6.1,4,375,"6,188",> 100%
Region,Region 6,All,2017-18,42,6.7,6.2,6.2,3,386,"6,310",> 100%
Region,Region 6,All,2017-18,43,6.8,6.3,6.3,3,395,"6,323",> 100%
Region,Region 6,All,2017-18,44,7,6.5,6.1,3,396,"6,535",> 100%
Region,Region 6,All,2017-18,45,7.1,6.6,5.9,6,371,"6,376",> 100%
Region,Region 6,All,2017-18,46,7.2,6.7,7,12,430,"6,321",> 100%
Region,Region 6,All,2017-18,47,7.3,6.8,6.9,15,424,"6,360",> 100%
Region,Region 6,All,2017-18,48,7.5,7,6.7,19,421,"6,597",> 100%
Region,Region 6,All,2017-18,49,7.6,7.1,7.6,28,472,"6,568",> 100%
Region,Region 6,All,2017-18,50,7.7,7.2,7.3,32,457,"6,672",> 100%
Region,Region 6,All,2017-18,51,7.8,7.3,8.1,56,530,"7,232",> 100%
Region,Region 6,All,2017-18,52,7.9,7.4,8.5,102,501,"7,057",> 100%
Region,Region 6,All,2017-18,1,8,7.5,10.1,148,612,"7,492",> 100%
Region,Region 6,All,2017-18,2,8.1,7.6,11.3,186,621,"7,160",> 100%
Region,Region 6,All,2017-18,3,8.1,7.6,10.4,141,494,"6,098",> 100%
Region,Region 6,All,2017-18,4,8.2,7.7,9.9,106,372,"4,840",87.10%
Region,Region 7,All,2017-18,40,6,5.4,6.6,1,163,"2,483",> 100%
Region,Region 7,All,2017-18,41,6.1,5.5,6.5,0,156,"2,409",> 100%
Region,Region 7,All,2017-18,42,6.2,5.6,6.1,0,157,"2,566",> 100%
Region,Region 7,All,2017-18,43,6.3,5.7,7.4,2,186,"2,538",> 100%
Region,Region 7,All,2017-18,44,6.4,5.8,6.1,3,159,"2,660",> 100%
Region,Region 7,All,2017-18,45,6.5,5.9,5.7,4,146,"2,618",> 100%
Region,Region 7,All,2017-18,46,6.6,6,6,4,145,"2,497",> 100%
Region,Region 7,All,2017-18,47,6.8,6.1,5.5,1,141,"2,599",> 100%
Region,Region 7,All,2017-18,48,6.9,6.2,7.5,0,193,"2,574",> 100%
Region,Region 7,All,2017-18,49,7,6.3,6.1,7,153,"2,614",> 100%
Region,Region 7,All,2017-18,50,7.1,6.4,6.3,8,162,"2,687",> 100%
Region,Region 7,All,2017-18,51,7.1,6.5,7.6,28,177,"2,690",> 100%
Region,Region 7,All,2017-18,52,7.2,6.6,8.8,44,203,"2,793",> 100%
Region,Region 7,All,2017-18,1,7.3,6.7,9.9,71,228,"3,022",> 100%
Region,Region 7,All,2017-18,2,7.4,6.7,12.3,105,253,"2,920",> 100%
Region,Region 7,All,2017-18,3,7.4,6.8,12,112,221,"2,785",> 100%
Region,Region 7,All,2017-18,4,7.5,6.8,12.2,97,179,"2,257",96%
Region,Region 8,All,2017-18,40,6,5.3,6.9,0,116,"1,680",> 100%
Region,Region 8,All,2017-18,41,6.1,5.4,5.3,0,88,"1,649",> 100%
Region,Region 8,All,2017-18,42,6.2,5.6,6.5,1,104,"1,614",> 100%
Region,Region 8,All,2017-18,43,6.4,5.7,5.5,1,90,"1,656",> 100%
Region,Region 8,All,2017-18,44,6.5,5.9,6.1,3,98,"1,663",> 100%
Region,Region 8,All,2017-18,45,6.6,6,7.5,7,117,"1,648",> 100%
Region,Region 8,All,2017-18,46,6.8,6.2,7.2,3,113,"1,620",> 100%
Region,Region 8,All,2017-18,47,6.9,6.3,5,3,78,"1,631",> 100%
Region,Region 8,All,2017-18,48,7.1,6.5,5.9,10,87,"1,656",> 100%
Region,Region 8,All,2017-18,49,7.2,6.6,7.4,11,107,"1,596",> 100%
Region,Region 8,All,2017-18,50,7.4,6.7,6.9,8,104,"1,626",> 100%
Region,Region 8,All,2017-18,51,7.5,6.9,8,13,111,"1,550",> 100%
Region,Region 8,All,2017-18,52,7.6,7,6.8,18,80,"1,431",> 100%
Region,Region 8,All,2017-18,1,7.7,7.1,9.9,30,151,"1,821",> 100%
Region,Region 8,All,2017-18,2,7.8,7.2,10,42,135,"1,767",> 100%
Region,Region 8,All,2017-18,3,7.9,7.2,9.1,44,98,"1,568",> 100%
Region,Region 8,All,2017-18,4,7.9,7.3,9.2,22,104,"1,376",98.20%
Region,Region 9,All,2017-18,40,6.8,6.3,6.3,2,409,"6,509",> 100%
Region,Region 9,All,2017-18,41,6.9,6.4,6,3,392,"6,584",> 100%
Region,Region 9,All,2017-18,42,7,6.5,6.5,7,421,"6,616",> 100%
Region,Region 9,All,2017-18,43,7.1,6.6,6.8,7,441,"6,592",> 100%
Region,Region 9,All,2017-18,44,7.3,6.8,6.4,4,422,"6,643",> 100%
Region,Region 9,All,2017-18,45,7.4,6.9,6.5,9,412,"6,512",> 100%
Region,Region 9,All,2017-18,46,7.5,7,7.2,8,466,"6,554",> 100%
Region,Region 9,All,2017-18,47,7.6,7.1,6.6,8,441,"6,795",> 100%
Region,Region 9,All,2017-18,48,7.7,7.2,7.2,12,478,"6,762",> 100%
Region,Region 9,All,2017-18,49,7.8,7.3,7.2,21,482,"6,944",> 100%
Region,Region 9,All,2017-18,50,7.9,7.4,7.3,14,515,"7,249",> 100%
Region,Region 9,All,2017-18,51,8,7.5,8.3,69,572,"7,723",> 100%
Region,Region 9,All,2017-18,52,8.1,7.6,10.3,175,703,"8,552",> 100%
Region,Region 9,All,2017-18,1,8.2,7.7,12.9,330,843,"9,110",> 100%
