AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2017-18,40,6,5.7,5.8,16,"2,966","51,572",> 100%
National,,All,2017-18,41,6.1,5.8,5.8,17,"2,950","50,914",> 100%
National,,All,2017-18,42,6.2,5.9,6,26,"3,053","51,023",> 100%
National,,All,2017-18,43,6.3,6,6.2,22,"3,156","50,891",> 100%
National,,All,2017-18,44,6.3,6,6,36,"3,084","51,644",> 100%
National,,All,2017-18,45,6.4,6.1,6,44,"3,029","50,899",> 100%
National,,All,2017-18,46,6.5,6.2,6.2,47,"3,147","51,138",> 100%
National,,All,2017-18,47,6.6,6.3,5.9,48,"3,003","51,360",> 100%
National,,All,2017-18,48,6.7,6.4,6.5,78,"3,264","51,550",> 100%
National,,All,2017-18,49,6.8,6.5,6.5,114,"3,223","51,345",> 100%
National,,All,2017-18,50,6.9,6.6,6.8,149,"3,436","53,023",> 100%
National,,All,2017-18,51,7,6.7,7.2,329,"3,529","53,535",> 100%
National,,All,2017-18,52,7.1,6.8,8.2,583,"3,758","53,077",> 100%
National,,All,2017-18,1,7.2,6.9,9.5,"1,029","4,243","55,728",> 100%
National,,All,2017-18,2,7.2,6.9,10.3,"1,251","4,449","55,176",> 100%
National,,All,2017-18,3,7.3,7,10.4,"1,179","3,922","48,907",> 100%
National,,All,2017-18,4,7.3,7,9.8,857,"3,081","40,012",84.10%
National,,All,2016-17,40,6.3,5.9,5.9,18,"3,022","51,404",> 100%
National,,All,2016-17,41,6.3,6,6.1,11,"3,193","52,130",> 100%
National,,All,2016-17,42,6.4,6.1,6.2,7,"3,178","51,443",> 100%
National,,All,2016-17,43,6.5,6.2,6.1,17,"3,129","51,865",> 100%
National,,All,2016-17,44,6.6,6.3,6,16,"3,100","51,753",> 100%
National,,All,2016-17,45,6.7,6.4,6.1,19,"3,208","52,541",> 100%
National,,All,2016-17,46,6.8,6.5,6,7,"3,192","53,460",> 100%
National,,All,2016-17,47,6.9,6.6,6.2,22,"3,257","53,163",> 100%
National,,All,2016-17,48,7,6.7,6.5,34,"3,515","54,601",> 100%
National,,All,2016-17,49,7.1,6.8,6.6,33,"3,616","55,150",> 100%
National,,All,2016-17,50,7.2,6.8,6.8,46,"3,780","56,002",> 100%
National,,All,2016-17,51,7.2,6.9,6.8,92,"3,738","56,734",> 100%
National,,All,2016-17,52,7.3,7,7.4,157,"4,105","57,616",> 100%
National,,All,2016-17,1,7.4,7.1,8.1,289,"4,551","59,731",> 100%
National,,All,2016-17,2,7.5,7.1,8,368,"4,492","60,950",> 100%
National,,All,2016-17,3,7.5,7.2,8.4,374,"4,612","59,251",> 100%
National,,All,2016-17,4,7.5,7.2,8.2,367,"4,415","58,003",> 100%
National,,All,2016-17,5,7.6,7.3,8.2,351,"4,445","58,370",> 100%
National,,All,2016-17,6,7.6,7.3,8.2,419,"4,441","58,967",> 100%
National,,All,2016-17,7,7.6,7.3,8.5,543,"4,405","58,394",> 100%
National,,All,2016-17,8,7.6,7.3,8.5,606,"4,353","58,222",> 100%
National,,All,2016-17,9,7.6,7.2,8.4,535,"4,237","57,087",> 100%
National,,All,2016-17,10,7.5,7.2,8.2,469,"4,198","57,134",> 100%
National,,All,2016-17,11,7.5,7.2,7.9,376,"4,082","56,482",> 100%
