STATE,RATE,DEATHS,URL
AL,18.8,"1,031",/nchs/pressroom/states/alabama/alabama.htm
AK,14.1,68,/nchs/pressroom/states/alaska/alaska.htm
AZ,10,779,/nchs/pressroom/states/arizona/arizona.htm
AR,20.7,710,/nchs/pressroom/states/arkansas/arkansas.htm
CA,14.7,"5,970",/nchs/pressroom/states/california/california.htm
CO,13.3,701,/nchs/pressroom/states/colorado/colorado.htm
CT,13.3,644,/nchs/pressroom/states/connecticut/connecticut.htm
DE,13.8,156,/nchs/pressroom/states/delaware/delaware.htm
FL,9.6,"2,719",/nchs/pressroom/states/florida/florida.htm
GA,16.2,"1,510",/nchs/pressroom/states/georgia/georgia.htm
HI,22.6,438,/nchs/pressroom/states/hawaii/hawaii.htm
ID,11.3,200,/nchs/pressroom/states/idaho/idaho.htm
IL,16.8,"2,485",/nchs/pressroom/states/illinois/illinois.htm
IN,14.3,"1,063",/nchs/pressroom/states/indiana/indiana.htm
IA,13.7,582,/nchs/pressroom/states/iowa/iowa.htm
KS,18.2,637,/nchs/pressroom/states/kansas/kansas.htm
KY,20.8,"1,017",/nchs/pressroom/states/kentucky/kentucky.htm
LA,17.5,854,/nchs/pressroom/states/louisiana/louisiana.htm
ME,13.7,258,/nchs/pressroom/states/maine/maine.htm
MD,15.6,"1,019",/nchs/pressroom/states/maryland/maryland.htm
MA,15.8,"1,370",/nchs/pressroom/states/massachusetts/massachusetts.htm
MI,15.5,"1,875",/nchs/pressroom/states/michigan/michigan.htm
MN,9.8,638,/nchs/pressroom/states/minnesota/minnesota.htm
MS,23.5,763,/nchs/pressroom/states/mississippi/mississippi.htm
MO,18.1,"1,321",/nchs/pressroom/states/missouri/missouri.htm
MT,13.7,179,/nchs/pressroom/states/montana/montana.htm
NE,15.1,351,/nchs/pressroom/states/nebraska/nebraska.htm
NV,23.8,687,/nchs/pressroom/states/nevada/nevada.htm
NH,11.5,194,/nchs/pressroom/states/newhampshire/newhampshire.htm
NJ,11.3,"1,234",/nchs/pressroom/states/newjersey/newjersey.htm
NM,16.1,376,/nchs/pressroom/states/newmexico/newmexico.htm
NY,19.5,"4,702",/nchs/pressroom/states/newyork/newyork.htm
NC,17.2,"1,874",/nchs/pressroom/states/northcarolina/northcarolina.htm
ND,18.5,174,/nchs/pressroom/states/northdakota/northdakota.htm
OH,16.9,"2,443",/nchs/pressroom/states/ohio/ohio.htm
OK,16.8,723,/nchs/pressroom/states/oklahoma/oklahoma.htm
OR,9.1,450,/nchs/pressroom/states/oregon/oregon.htm
PA,14.2,"2,541",/nchs/pressroom/states/pennsylvania/pennsylvania.htm
RI,11.7,176,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
SC,13.9,751,/nchs/pressroom/states/southcarolina/southcarolina.htm
SD,16.2,181,/nchs/pressroom/states/southdakota/southdakota.htm
TN,22.1,"1,602",/nchs/pressroom/states/tenessee/tennessee.htm
TX,14.2,"3,452",/nchs/pressroom/states/texas/texas.htm
UT,16.2,366,/nchs/pressroom/states/utah/utah.htm
VT,9.3,74,/nchs/pressroom/states/vermont/vermont.htm
VA,17.1,"1,498",/nchs/pressroom/states/virginia/virginia.htm
WA,9.4,729,/nchs/pressroom/states/washington/washington.htm
WV,19.6,473,/nchs/pressroom/states/westvirginia/westvirginia.htm
WI,13.8,"1,002",/nchs/pressroom/states/wisconsin/wisconsin.htm
WY,18.1,113,/nchs/pressroom/states/wyoming/wyoming.htm
