STATE,RATE,DEATHS,URL
AL,19.5,"1,097",/nchs/pressroom/states/alabama/alabama.htm
AK,8.4,41,/nchs/pressroom/states/alaska/alaska.htm
AZ,9.5,775,/nchs/pressroom/states/arizona/arizona.htm
AR,20,700,/nchs/pressroom/states/arkansas/arkansas.htm
CA,14.8,"6,188",/nchs/pressroom/states/california/california.htm
CO,12.3,659,/nchs/pressroom/states/colorado/colorado.htm
CT,13.6,667,/nchs/pressroom/states/connecticut/connecticut.htm
DE,16.1,189,/nchs/pressroom/states/delaware/delaware.htm
FL,8.9,"2,676",/nchs/pressroom/states/florida/florida.htm
GA,15.5,"1,467",/nchs/pressroom/states/georgia/georgia.htm
HI,27.4,557,/nchs/pressroom/states/hawaii/hawaii.htm
ID,12.4,218,/nchs/pressroom/states/idaho/idaho.htm
IL,15.7,"2,343",/nchs/pressroom/states/illinois/illinois.htm
IN,13.9,"1,044",/nchs/pressroom/states/indiana/indiana.htm
IA,14.2,618,/nchs/pressroom/states/iowa/iowa.htm
KS,18.9,682,/nchs/pressroom/states/kansas/kansas.htm
KY,19.3,967,/nchs/pressroom/states/kentucky/kentucky.htm
LA,15.3,753,/nchs/pressroom/states/louisiana/louisiana.htm
ME,17.6,333,/nchs/pressroom/states/maine/maine.htm
MD,17.7,"1,176",/nchs/pressroom/states/maryland/maryland.htm
MA,17.1,"1,512",/nchs/pressroom/states/massachusetts/massachusetts.htm
MI,15.2,"1,894",/nchs/pressroom/states/michigan/michigan.htm
MN,10.9,738,/nchs/pressroom/states/minnesota/minnesota.htm
MS,24,791,/nchs/pressroom/states/mississippi/mississippi.htm
MO,17.9,"1,337",/nchs/pressroom/states/missouri/missouri.htm
MT,13.7,183,/nchs/pressroom/states/montana/montana.htm
NE,16.9,397,/nchs/pressroom/states/nebraska/nebraska.htm
NV,21.3,630,/nchs/pressroom/states/nevada/nevada.htm
NH,16.1,275,/nchs/pressroom/states/newhampshire/newhampshire.htm
NJ,12.5,"1,402",/nchs/pressroom/states/newjersey/newjersey.htm
NM,13.6,322,/nchs/pressroom/states/newmexico/newmexico.htm
NY,20,"4,881",/nchs/pressroom/states/newyork/newyork.htm
NC,18.7,"2,115",/nchs/pressroom/states/northcarolina/northcarolina.htm
ND,17.7,172,/nchs/pressroom/states/northdakota/northdakota.htm
OH,16.6,"2,445",/nchs/pressroom/states/ohio/ohio.htm
OK,16.5,717,/nchs/pressroom/states/oklahoma/oklahoma.htm
OR,9,453,/nchs/pressroom/states/oregon/oregon.htm
PA,15.9,"2,899",/nchs/pressroom/states/pennsylvania/pennsylvania.htm
RI,16.2,246,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
SC,15.3,848,/nchs/pressroom/states/southcarolina/southcarolina.htm
SD,18.2,213,/nchs/pressroom/states/southdakota/southdakota.htm
TN,23.3,"1,723",/nchs/pressroom/states/tenessee/tennessee.htm
TX,13,"3,214",/nchs/pressroom/states/texas/texas.htm
UT,15.7,372,/nchs/pressroom/states/utah/utah.htm
VT,10,85,/nchs/pressroom/states/vermont/vermont.htm
VA,15.7,"1,416",/nchs/pressroom/states/virginia/virginia.htm
WA,10.7,851,/nchs/pressroom/states/washington/washington.htm
WV,21.2,526,/nchs/pressroom/states/westvirginia/westvirginia.htm
WI,14.2,"1,052",/nchs/pressroom/states/wisconsin/wisconsin.htm
WY,16,99,/nchs/pressroom/states/wyoming/wyoming.htm
